Age px qx lx dx Lx Tx ex
20 0.99992 0.00008 100000 8 99996 6153741 61.54
21 0.99992 0.00008 99992 8 99988 6053745 60.54
22 0.99991 0.00009 99984 9 99979 5953757 59.55
23 0.99990 0.00010 99975 10 99969 5853777 58.55
24 0.99988 0.00012 99964 12 99958 5753808 57.56
25 0.99987 0.00013 99953 13 99946 5653850 56.57
26 0.99986 0.00014 99940 14 99933 5553903 55.57
27 0.99984 0.00016 99926 16 99918 5453970 54.58
28 0.99983 0.00017 99910 17 99901 5354052 53.59
29 0.99981 0.00019 99893 19 99883 5254151 52.60
30 0.99978 0.00022 99873 21 99863 5154268 51.61
31 0.99976 0.00024 99852 24 99840 5054405 50.62
32 0.99973 0.00027 99828 26 99815 4954566 49.63
33 0.99971 0.00029 99801 29 99787 4854751 48.64
34 0.99967 0.00033 99772 33 99756 4754964 47.66
35 0.99964 0.00036 99740 36 99721 4655208 46.67
36 0.99960 0.00040 99703 40 99683 4555487 45.69
37 0.99955 0.00045 99663 44 99641 4455803 44.71
38 0.99951 0.00049 99619 49 99594 4356162 43.73
39 0.99945 0.00055 99570 55 99542 4256568 42.75
40 0.99939 0.00061 99515 61 99485 4157025 41.77
41 0.99932 0.00068 99454 68 99420 4057540 40.80
42 0.99924 0.00076 99387 75 99349 3958120 39.83
43 0.99916 0.00084 99311 84 99269 3858771 38.86
44 0.99906 0.00094 99227 93 99181 3759502 37.89
45 0.99896 0.00104 99134 103 99083 3660321 36.92
46 0.99884 0.00116 99031 115 98974 3561238 35.96
47 0.99871 0.00129 98916 128 98852 3462265 35.00
48 0.99856 0.00144 98788 143 98717 3363413 34.05
49 0.99839 0.00161 98645 159 98566 3264696 33.10
50 0.99819 0.00181 98486 178 98397 3166130 32.15
51 0.99798 0.00202 98308 199 98209 3067733 31.21
52 0.99773 0.00227 98110 223 97998 2969524 30.27
53 0.99745 0.00255 97887 250 97762 2871526 29.34
54 0.99713 0.00287 97637 280 97497 2773764 28.41
55 0.99677 0.00323 97357 314 97200 2676267 27.49
56 0.99637 0.00363 97042 352 96866 2579068 26.58
57 0.99592 0.00408 96690 395 96493 2482201 25.67
58 0.99541 0.00459 96295 442 96074 2385709 24.77
59 0.99484 0.00516 95853 495 95606 2289634 23.89
60 0.99420 0.00580 95358 553 95082 2194028 23.01
61 0.99349 0.00651 94806 617 94497 2098946 22.14
62 0.99270 0.00730 94189 688 93845 2004449 21.28
63 0.99181 0.00819 93501 765 93118 1910605 20.43
64 0.99082 0.00918 92735 851 92310 1817487 19.60
65 0.98971 0.01029 91884 945 91412 1725177 18.78
66 0.98846 0.01154 90939 1049 90414 1633765 17.97
67 0.98706 0.01294 89890 1163 89308 1543351 17.17
68 0.98547 0.01453 88726 1289 88082 1454043 16.39
69 0.98367 0.01633 87437 1428 86723 1365961 15.62
70 0.98163 0.01837 86009 1580 85220 1279238 14.87
71 0.97937 0.02063 84430 1742 83559 1194018 14.14
72 0.97689 0.02311 82688 1911 81732 1110459 13.43
73 0.97418 0.02582 80777 2085 79734 1028727 12.74
74 0.97122 0.02878 78691 2265 77559 948993 12.06
75 0.96795 0.03205 76426 2449 75202 871434 11.40
76 0.96434 0.03566 73977 2638 72658 796233 10.76
77 0.96034 0.03966 71339 2829 69924 723575 10.14
78 0.95586 0.04414 68510 3024 66998 653650 9.54
79 0.95083 0.04917 65486 3220 63876 586652 8.96
80 0.94513 0.05487 62266 3416 60558 522776 8.40
81 0.93874 0.06126 58850 3605 57047 462219 7.85
82 0.93164 0.06836 55244 3776 53356 405172 7.33
83 0.92377 0.07623 51468 3924 49506 351815 6.84
84 0.91502 0.08498 47544 4040 45524 302309 6.36
85 0.90529 0.09471 43504 4120 41444 256785 5.90
86 0.89447 0.10553 39384 4156 37306 215341 5.47
87 0.88242 0.11758 35228 4142 33157 178035 5.05
88 0.86899 0.13101 31086 4073 29049 144878 4.66
89 0.85399 0.14601 27013 3944 25041 115829 4.29
90 0.83722 0.16278 23069 3755 21191 90788 3.94
91 0.81855 0.18145 19314 3505 17561 69597 3.60
92 0.79785 0.20215 15809 3196 14211 52035 3.29
93 0.77491 0.22509 12613 2839 11194 37824 3.00
94 0.74948 0.25052 9774 2449 8550 26630 2.72
95 0.72127 0.27873 7326 2042 6305 18080 2.47
96 0.68998 0.31002 5284 1638 4465 11776 2.23
97 0.65526 0.34474 3646 1257 3017 7311 2.01
98 0.61670 0.38330 2389 916 1931 4294 1.80
99 0.57387 0.42613 1473 628 1159 2363 1.60
100 0.52607 0.47393 845 401 645 1203 1.42
101 0.47290 0.52710 445 234 328 558 1.26
102 0.41377 0.58623 210 123 149 231 1.10
103 0.34801 0.65199 87 57 59 82 0.94
104 0.27486 0.72514 30 22 19 23 0.77
105 0.00000 1.00000 8 8 4 4 0.50
