Country Name,lnh,l_m,g,m,b
Australia,-10.824,0,9.91%,85.863,10.086
Austria,-10.757,0,10.06%,84.066,9.936
Belarus,-7.738,0,7.11%,71.648,14.063
Belgium,-10.592,0,9.89%,83.668,10.106
Canada,-10.782,0,9.90%,85.554,10.101
Croatia,-10.148,0,9.74%,80.275,10.266
Czechia,-10.25,0,9.80%,80.873,10.202
Denmark,-10.677,0,10.05%,83.368,9.949
Estonia,-9.04,0,8.33%,78.708,12.009
Finland,-10.267,0,9.51%,83.239,10.519
France,-10.07,0,9.06%,84.624,11.034
Germany,-10.719,0,10.08%,83.557,9.918
Greece,-10.342,0,9.49%,84.13,10.533
Hungary,-9.415,0,8.97%,78.055,11.144
Ireland,-10.797,0,10.06%,84.522,9.944
Israel,-11.023,0,10.17%,85.877,9.828
Italy,-11.271,0,10.59%,85.213,9.441
Japan,-10.754,0,9.90%,85.281,10.103
Korea,-10.435,0,9.74%,83.253,10.271
Latvia,-8.514,0,7.86%,75.971,12.724
Lithuania,-8.14,0,7.33%,75.362,13.634
Luxembourg,-11.315,0,10.81%,84.103,9.252
Netherlands,-11.342,0,10.76%,84.686,9.293
New Zealand,-10.853,0,10.03%,85.281,9.97
Norway,-11.094,0,10.43%,84.711,9.59
Poland,-9.193,0,8.48%,79.33,11.795
Portugal,-10.036,0,9.20%,83.125,10.865
Russia,-7.612,0,6.86%,71.879,14.569
Slovakia,-9.587,0,9.09%,79.047,10.995
Slovenia,-10.548,0,10.01%,82.388,9.99
Spain,-10.814,0,10.03%,84.914,9.973
Sweden,-11.438,0,10.82%,85.142,9.239
Switzerland,-11.281,0,10.52%,85.829,9.506
Taiwan,-9.259,0,8.17%,82.651,12.236
U.K.,-10.573,0,9.73%,84.751,10.282
U.S.A.,-9.766,0,8.79%,83.414,11.372
Ukraine,-8.071,0,7.46%,73.373,13.398
