Country Name,lnh,l_m,g,m,b
Australia,-11.549,0,10.30%,90.052,9.707
Austria,-11.849,0,10.86%,88.645,9.206
Belarus,-10.11,0,9.36%,82.719,10.685
Belgium,-11.332,0,10.24%,88.375,9.761
Canada,-11.364,0,10.14%,89.539,9.867
Croatia,-11.764,0,11.22%,85.331,8.91
Czechia,-11.616,0,10.95%,85.882,9.132
Denmark,-11.584,0,10.72%,87.201,9.325
Estonia,-10.896,0,9.91%,86.614,10.089
Finland,-11.653,0,10.59%,88.872,9.447
France,-11.156,0,9.68%,91.087,10.326
Germany,-11.642,0,10.68%,88.085,9.365
Greece,-11.919,0,10.94%,88.749,9.144
Hungary,-10.799,0,10.12%,84.047,9.878
Ireland,-11.552,0,10.54%,88.263,9.489
Israel,-11.852,0,10.84%,88.817,9.223
Italy,-12.009,0,10.90%,89.843,9.175
Japan,-11.314,0,9.73%,92.321,10.275
Korea,-11.806,0,10.65%,89.848,9.392
Latvia,-10.455,0,9.62%,84.34,10.395
Lithuania,-10.235,0,9.24%,85.022,10.827
Luxembourg,-11.849,0,10.89%,88.471,9.186
Netherlands,-11.444,0,10.41%,88.174,9.603
New Zealand,-11.37,0,10.30%,88.358,9.713
Norway,-11.877,0,10.89%,88.671,9.179
Poland,-11.131,0,10.27%,86.248,9.74
Portugal,-11.592,0,10.50%,88.952,9.526
Russia,-9.77,0,8.95%,82.214,11.176
Slovakia,-11.407,0,10.81%,84.962,9.254
Slovenia,-11.66,0,10.70%,88.063,9.344
Spain,-11.855,0,10.60%,90.637,9.43
Sweden,-12.059,0,11.11%,88.778,9.003
Switzerland,-12.049,0,10.92%,90.066,9.158
Taiwan,-11.225,0,10.13%,88.237,9.875
U.K.,-11.258,0,10.15%,88.372,9.851
U.S.A.,-10.504,0,9.28%,87.556,10.774
Ukraine,-10.179,0,9.54%,82.053,10.479
