Gender,Country Name,lnh,l_m,g,m,b
Female,Australia,-11.549,0,10.301%,90.052,9.707
Female,Austria,-11.849,0,10.862%,88.645,9.206
Female,Belarus,-10.11,0,9.359%,82.719,10.685
Female,Belgium,-11.332,0,10.245%,88.375,9.761
Female,Canada,-11.364,0,10.135%,89.539,9.867
Female,Croatia,-11.764,0,11.223%,85.331,8.91
Female,Czechia,-11.616,0,10.951%,85.882,9.132
Female,Denmark,-11.584,0,10.724%,87.201,9.325
Female,Estonia,-10.896,0,9.912%,86.614,10.089
Female,Finland,-11.653,0,10.585%,88.872,9.447
Female,France,-11.156,0,9.684%,91.087,10.326
Female,Germany,-11.642,0,10.678%,88.085,9.365
Female,Greece,-11.919,0,10.937%,88.749,9.144
Female,Hungary,-10.799,0,10.124%,84.047,9.878
Female,Ireland,-11.552,0,10.539%,88.263,9.489
Female,Israel,-11.852,0,10.843%,88.817,9.223
Female,Italy,-12.009,0,10.899%,89.843,9.175
Female,Japan,-11.314,0,9.732%,92.321,10.275
Female,Korea,-11.806,0,10.647%,89.848,9.392
Female,Latvia,-10.455,0,9.620%,84.34,10.395
Female,Lithuania,-10.235,0,9.236%,85.022,10.827
Female,Luxembourg,-11.849,0,10.886%,88.471,9.186
Female,Netherlands,-11.444,0,10.413%,88.174,9.603
Female,New Zealand,-11.37,0,10.296%,88.358,9.713
Female,Norway,-11.877,0,10.895%,88.671,9.179
Female,Poland,-11.131,0,10.267%,86.248,9.74
Female,Portugal,-11.592,0,10.497%,88.952,9.526
Female,Russia,-9.77,0,8.948%,82.214,11.176
Female,Slovakia,-11.407,0,10.807%,84.962,9.254
Female,Slovenia,-11.66,0,10.703%,88.063,9.344
Female,Spain,-11.855,0,10.604%,90.637,9.43
Female,Sweden,-12.059,0,11.108%,88.778,9.003
Female,Switzerland,-12.049,0,10.919%,90.066,9.158
Female,Taiwan,-11.225,0,10.127%,88.237,9.875
Female,U.K.,-11.258,0,10.151%,88.372,9.851
Female,U.S.A.,-10.504,0,9.281%,87.556,10.774
Female,Ukraine,-10.179,0,9.543%,82.053,10.479
