Gender,Country Name,lnh,l_m,g,m,b
Male,Australia,-10.824,0,9.915%,85.863,10.086
Male,Austria,-10.757,0,10.064%,84.066,9.936
Male,Belarus,-7.738,0,7.111%,71.648,14.063
Male,Belgium,-10.592,0,9.895%,83.668,10.106
Male,Canada,-10.782,0,9.900%,85.554,10.101
Male,Croatia,-10.148,0,9.741%,80.275,10.266
Male,Czechia,-10.25,0,9.802%,80.873,10.202
Male,Denmark,-10.677,0,10.051%,83.368,9.949
Male,Estonia,-9.04,0,8.327%,78.708,12.009
Male,Finland,-10.267,0,9.507%,83.239,10.519
Male,France,-10.07,0,9.063%,84.624,11.034
Male,Germany,-10.719,0,10.083%,83.557,9.918
Male,Greece,-10.342,0,9.494%,84.13,10.533
Male,Hungary,-9.415,0,8.973%,78.055,11.144
Male,Ireland,-10.797,0,10.056%,84.522,9.944
Male,Israel,-11.023,0,10.175%,85.877,9.828
Male,Italy,-11.271,0,10.592%,85.213,9.441
Male,Japan,-10.754,0,9.898%,85.281,10.103
Male,Korea,-10.435,0,9.736%,83.253,10.271
Male,Latvia,-8.514,0,7.859%,75.971,12.724
Male,Lithuania,-8.14,0,7.335%,75.362,13.634
Male,Luxembourg,-11.315,0,10.809%,84.103,9.252
Male,Netherlands,-11.342,0,10.761%,84.686,9.293
Male,New Zealand,-10.853,0,10.030%,85.281,9.97
Male,Norway,-11.094,0,10.428%,84.711,9.59
Male,Poland,-9.193,0,8.478%,79.33,11.795
Male,Portugal,-10.036,0,9.204%,83.125,10.865
Male,Russia,-7.612,0,6.864%,71.879,14.569
Male,Slovakia,-9.587,0,9.095%,79.047,10.995
Male,Slovenia,-10.548,0,10.010%,82.388,9.99
Male,Spain,-10.814,0,10.027%,84.914,9.973
Male,Sweden,-11.438,0,10.823%,85.142,9.239
Male,Switzerland,-11.281,0,10.520%,85.829,9.506
Male,Taiwan,-9.259,0,8.173%,82.651,12.236
Male,U.K.,-10.573,0,9.726%,84.751,10.282
Male,U.S.A.,-9.766,0,8.793%,83.414,11.372
Male,Ukraine,-8.071,0,7.464%,73.373,13.398
