Country Name,"Female
x = 55","Female
x = 70","Female
x = 85","Male
x = 55","Male
x = 70","Male
x = 85","Total
x = 55","Total
x = 70","Total
x = 85"
Australia,49.372,66.221,83.071,48.474,65.957,83.44,49.748,66.541,83.334
Austria,50.83,67.2,83.571,55.234,70.145,85.056,51.823,67.908,83.992
Belarus,64.454,76.347,88.241,67.875,77.977,88.078,64.336,76.148,87.961
Belgium,51.266,67.493,83.72,46.06,64.462,82.863,50.585,67.092,83.6
Canada,53.847,69.226,84.605,51.624,67.909,84.193,53.979,69.327,84.676
Croatia,60.877,73.946,87.015,64.483,75.875,87.267,61.227,74.101,86.975
Czechia,57.391,71.605,85.82,58.73,72.311,85.892,57.265,71.492,85.718
Denmark,56.368,70.918,85.469,53.856,69.291,84.726,56.318,70.868,85.418
Estonia,57.642,71.774,85.906,64.831,76.091,87.35,58.312,72.181,86.051
Finland,50.324,66.86,83.397,50.62,67.286,83.953,50.487,67.028,83.569
France,50.536,67.003,83.47,48.968,66.263,83.558,51.034,67.388,83.742
Germany,53.989,69.322,84.654,52.555,68.485,84.415,53.633,69.1,84.566
Greece,58.801,72.552,86.303,54.653,69.785,84.917,56.92,71.264,85.609
Hungary,59.825,73.239,86.654,56.695,71.05,85.405,58.216,72.118,86.02
Ireland,57.95,71.98,86.011,56.291,70.8,85.309,57.976,71.96,85.944
Israel,52.345,68.218,84.09,55.368,70.228,85.088,52.999,68.682,84.365
Italy,52.922,68.605,84.288,51,67.522,84.044,52.844,68.58,84.316
Japan,49.96,66.616,83.272,52.759,68.612,84.464,53.203,68.816,84.43
Korea,57.3,71.544,85.789,58.303,72.046,85.79,57.819,71.857,85.894
Latvia,53.647,69.092,84.536,60.431,73.365,86.298,53.47,68.993,84.515
Lithuania,53.908,69.267,84.626,57.182,71.352,85.522,53.299,68.88,84.46
Luxembourg,46.246,64.123,81.999,51.014,67.53,84.047,48.002,65.391,82.78
Netherlands,52.849,68.555,84.262,52.65,68.544,84.438,53.493,69.007,84.522
New Zealand,52,67.986,83.972,50.272,67.071,83.87,51.545,67.724,83.904
Norway,51.603,67.719,83.835,49.472,66.575,83.678,51.897,67.956,84.016
Poland,57.813,71.889,85.964,58.161,71.958,85.756,57.352,71.549,85.746
Portugal,57.022,71.358,85.693,55.312,70.193,85.075,56.632,71.075,85.518
Russia,62.265,74.877,87.49,64.62,75.96,87.3,61.353,74.184,87.015
Slovakia,59.208,72.825,86.443,63.027,74.973,86.919,59.424,72.914,86.403
Slovenia,58.921,72.633,86.344,46.3,64.61,82.92,56.138,70.75,85.361
Spain,50.747,67.144,83.542,52.295,68.324,84.353,51.776,67.877,83.977
Sweden,50.783,67.168,83.554,48.489,65.966,83.443,50.551,67.07,83.589
Switzerland,49.978,66.628,83.278,49.055,66.317,83.579,49.918,66.653,83.388
Taiwan,59.162,72.794,86.427,62.794,74.829,86.864,61.435,74.238,87.041
U.K.,55.422,70.283,85.145,52.607,68.518,84.428,55.009,70.006,85.003
U.S.A.,55.267,70.179,85.091,51.107,67.588,84.069,54.14,69.433,84.727
Ukraine,62.163,74.809,87.455,61.836,74.235,86.634,60.842,73.848,86.853
