Gender,Country Name,lnh,l_m,g,m,b
Male,Australia,-13.365,195.351,12.963%,87.345,7.714
Male,Austria,-11.558,7.08,11.056%,84.625,9.045
Male,Belarus,-8.062,174.857,7.490%,73.034,13.351
Male,Belgium,-13.858,508.599,13.644%,86.974,7.329
Male,Canada,-12.613,174.777,12.074%,86.952,8.282
Male,Croatia,-8.998,-520.272,8.447%,77.261,11.839
Male,Czechia,-10.468,-13.56,10.070%,81.155,9.931
Male,Denmark,-11.836,107.315,11.445%,84.478,8.738
Male,Estonia,-9.016,-114.952,8.349%,78.252,11.978
Male,Finland,-12.695,330.382,12.358%,85.812,8.092
Male,France,-13.294,386.506,12.823%,87.652,7.798
Male,Germany,-12.192,187.033,11.812%,85.136,8.466
Male,Greece,-11.796,181.304,11.220%,85.642,8.913
Male,Hungary,-10.987,801.333,10.644%,82.18,9.395
Male,Ireland,-11.302,-75.604,10.758%,84.335,9.296
Male,Israel,-11.739,87.715,11.018%,86.528,9.076
Male,Italy,-12.646,93.054,12.250%,86.089,8.163
Male,Japan,-12.292,118.802,11.754%,86.363,8.508
Male,Korea,-10.738,-112.67,10.190%,82.965,9.813
Male,Latvia,-10.066,771.15,9.590%,80.517,10.428
Male,Lithuania,-10.944,1110.919,10.506%,82.716,9.518
Male,Luxembourg,-12.544,144.685,12.246%,85.285,8.166
Male,Netherlands,-12.178,46.479,11.785%,85.196,8.486
Male,New Zealand,-12.85,131.994,12.456%,86.444,8.029
Male,Norway,-12.977,182.172,12.681%,86.044,7.886
Male,Poland,-10.736,478.19,10.230%,82.653,9.775
Male,Portugal,-11.522,95.154,11.034%,84.45,9.063
Male,Russia,-8.945,683.843,8.408%,76.943,11.893
Male,Slovakia,-9.384,-86.828,8.857%,78.583,11.29
Male,Slovenia,-13.675,570.098,13.576%,86.019,7.366
Male,Spain,-12.394,170.624,11.885%,86.364,8.414
Male,Sweden,-13.227,141.683,12.959%,86.299,7.717
Male,Switzerland,-13.179,126.809,12.799%,86.912,7.813
Male,Taiwan,-9.812,-51.936,8.923%,82.882,11.207
Male,U.K.,-12.291,154.437,11.797%,86.073,8.477
Male,U.S.A.,-12.711,438.304,12.220%,86.815,8.183
Male,Ukraine,-9.571,710.356,9.193%,78.15,10.877
