Gender,Country Name,lnh,l_m,g,m,b
Total,Australia,-14.007,184.109,13.459%,89.174,7.43
Total,Austria,-13.391,183.298,12.891%,87.987,7.757
Total,Belarus,-10.029,389.943,9.467%,81.032,10.563
Total,Belgium,-13.709,300.514,13.230%,88.334,7.559
Total,Canada,-13.04,178.012,12.301%,88.967,8.129
Total,Croatia,-10.78,-138.197,10.318%,82.464,9.692
Total,Czechia,-11.812,97.972,11.402%,84.554,8.77
Total,Denmark,-12.256,151.606,11.661%,86.67,8.575
Total,Estonia,-11.693,266.999,11.116%,85.427,8.996
Total,Finland,-13.713,255.126,13.257%,88.201,7.543
Total,France,-13.818,263.556,13.107%,89.918,7.629
Total,Germany,-12.911,157.152,12.396%,87.311,8.067
Total,Greece,-12.124,-6.456,11.497%,86.64,8.698
Total,Hungary,-11.57,417.646,11.142%,84.144,8.975
Total,Ireland,-11.888,-18.566,11.208%,86.54,8.922
Total,Israel,-13.2,178.464,12.569%,88.519,7.956
Total,Italy,-13.206,74.773,12.612%,88.296,7.929
Total,Japan,-13.337,174.763,12.514%,89.972,7.991
Total,Korea,-11.953,-12.356,11.250%,86.823,8.889
Total,Latvia,-12.779,763.73,12.440%,85.966,8.038
Total,Lithuania,-12.901,831.58,12.487%,86.654,8.008
Total,Luxembourg,-14.304,314.631,13.937%,88.499,7.175
Total,Netherlands,-12.976,130.555,12.434%,87.587,8.042
Total,New Zealand,-13.454,144.957,12.967%,87.998,7.712
Total,Norway,-13.36,139.253,12.871%,87.867,7.769
Total,Poland,-11.935,343.78,11.378%,85.788,8.789
Total,Portugal,-12.2,27.928,11.575%,86.77,8.639
Total,Russia,-10.76,587.416,10.284%,82.516,9.724
Total,Slovakia,-11.235,116.005,10.811%,83.345,9.25
Total,Slovenia,-12.261,74.417,11.710%,86.391,8.539
Total,Spain,-13.523,156.035,12.904%,88.932,7.749
Total,Sweden,-13.681,136.514,13.239%,88.063,7.553
Total,Switzerland,-13.944,124.105,13.413%,88.983,7.456
Total,Taiwan,-11.093,25.185,10.261%,85.921,9.746
Total,U.K.,-12.678,153.344,12.019%,87.853,8.32
Total,U.S.A.,-12.922,346.563,12.257%,88.3,8.158
Total,Ukraine,-10.779,426.404,10.423%,81.718,9.594
