Year,Age,qx,Country,Gender,Country Name
2011,0,0.0034,AUS,Female,Australia
2011,1,2.6e-4,AUS,Female,Australia
2011,2,1.6e-4,AUS,Female,Australia
2011,3,1.6e-4,AUS,Female,Australia
2011,4,1.1e-4,AUS,Female,Australia
2011,5,1.1e-4,AUS,Female,Australia
2011,6,8e-5,AUS,Female,Australia
2011,7,5e-5,AUS,Female,Australia
2011,8,1.4e-4,AUS,Female,Australia
2011,9,1e-4,AUS,Female,Australia
2011,10,1e-4,AUS,Female,Australia
2011,11,3e-5,AUS,Female,Australia
2011,12,1e-4,AUS,Female,Australia
2011,13,9e-5,AUS,Female,Australia
2011,14,1.2e-4,AUS,Female,Australia
2011,15,1.9e-4,AUS,Female,Australia
2011,16,2.4e-4,AUS,Female,Australia
2011,17,2.1e-4,AUS,Female,Australia
2011,18,2.4e-4,AUS,Female,Australia
2011,19,2.9e-4,AUS,Female,Australia
2011,20,2.7e-4,AUS,Female,Australia
2011,21,2.7e-4,AUS,Female,Australia
2011,22,2.5e-4,AUS,Female,Australia
2011,23,3.1e-4,AUS,Female,Australia
2011,24,2.7e-4,AUS,Female,Australia
2011,25,2.8e-4,AUS,Female,Australia
2011,26,2.6e-4,AUS,Female,Australia
2011,27,3.2e-4,AUS,Female,Australia
2011,28,2.1e-4,AUS,Female,Australia
2011,29,3.6e-4,AUS,Female,Australia
2011,30,3e-4,AUS,Female,Australia
2011,31,4.1e-4,AUS,Female,Australia
2011,32,4.3e-4,AUS,Female,Australia
2011,33,5e-4,AUS,Female,Australia
2011,34,4.8e-4,AUS,Female,Australia
2011,35,5.6e-4,AUS,Female,Australia
2011,36,4.9e-4,AUS,Female,Australia
2011,37,6.2e-4,AUS,Female,Australia
2011,38,6.6e-4,AUS,Female,Australia
2011,39,8e-4,AUS,Female,Australia
2011,40,7.4e-4,AUS,Female,Australia
2011,41,7.5e-4,AUS,Female,Australia
2011,42,9.8e-4,AUS,Female,Australia
2011,43,0.00104,AUS,Female,Australia
2011,44,0.00115,AUS,Female,Australia
2011,45,0.00108,AUS,Female,Australia
2011,46,0.00133,AUS,Female,Australia
2011,47,0.0014,AUS,Female,Australia
2011,48,0.00153,AUS,Female,Australia
2011,49,0.00177,AUS,Female,Australia
2011,50,0.00188,AUS,Female,Australia
2011,51,0.00202,AUS,Female,Australia
2011,52,0.00216,AUS,Female,Australia
2011,53,0.0021,AUS,Female,Australia
2011,54,0.00264,AUS,Female,Australia
2011,55,0.00259,AUS,Female,Australia
2011,56,0.00284,AUS,Female,Australia
2011,57,0.00295,AUS,Female,Australia
2011,58,0.00331,AUS,Female,Australia
2011,59,0.00369,AUS,Female,Australia
2011,60,0.00415,AUS,Female,Australia
2011,61,0.00465,AUS,Female,Australia
2011,62,0.0047,AUS,Female,Australia
2011,63,0.00482,AUS,Female,Australia
2011,64,0.00524,AUS,Female,Australia
2011,65,0.00612,AUS,Female,Australia
2011,66,0.00641,AUS,Female,Australia
2011,67,0.0074400000000000004,AUS,Female,Australia
2011,68,0.008,AUS,Female,Australia
2011,69,0.00923,AUS,Female,Australia
2011,70,0.01029,AUS,Female,Australia
2011,71,0.01181,AUS,Female,Australia
2011,72,0.01333,AUS,Female,Australia
2011,73,0.01418,AUS,Female,Australia
2011,74,0.01686,AUS,Female,Australia
2011,75,0.01711,AUS,Female,Australia
2011,76,0.01938,AUS,Female,Australia
2011,77,0.02238,AUS,Female,Australia
2011,78,0.02515,AUS,Female,Australia
2011,79,0.02746,AUS,Female,Australia
2011,80,0.03348,AUS,Female,Australia
2011,81,0.03666,AUS,Female,Australia
2011,82,0.04417,AUS,Female,Australia
2011,83,0.05117,AUS,Female,Australia
2011,84,0.05581,AUS,Female,Australia
2011,85,0.0648,AUS,Female,Australia
2011,86,0.07627,AUS,Female,Australia
2011,87,0.0867,AUS,Female,Australia
2011,88,0.09801,AUS,Female,Australia
2011,89,0.11574,AUS,Female,Australia
2011,90,0.13223,AUS,Female,Australia
2011,91,0.14515,AUS,Female,Australia
2011,92,0.1598,AUS,Female,Australia
2011,93,0.17728,AUS,Female,Australia
2011,94,0.20537,AUS,Female,Australia
2011,95,0.22689,AUS,Female,Australia
2011,96,0.2505,AUS,Female,Australia
2011,97,0.27503,AUS,Female,Australia
2011,98,0.30022,AUS,Female,Australia
2011,99,0.3258,AUS,Female,Australia
2011,100,0.35147,AUS,Female,Australia
2011,101,0.37693,AUS,Female,Australia
2011,102,0.40188,AUS,Female,Australia
2011,103,0.42606,AUS,Female,Australia
2011,104,0.44922,AUS,Female,Australia
2011,105,0.47117,AUS,Female,Australia
2011,106,0.49177,AUS,Female,Australia
2011,107,0.51092,AUS,Female,Australia
2011,108,0.52856,AUS,Female,Australia
2011,109,0.54468,AUS,Female,Australia
2011,110,1,AUS,Female,Australia
2011,0,0.00415,AUS,Male,Australia
2011,1,3.4e-4,AUS,Male,Australia
2011,2,1.7e-4,AUS,Male,Australia
2011,3,1.2e-4,AUS,Male,Australia
2011,4,9e-5,AUS,Male,Australia
2011,5,1.4e-4,AUS,Male,Australia
2011,6,1.1e-4,AUS,Male,Australia
