Country,Country Name
AUS,Australia
AUT,Austria
BEL,Belgium
BGR,Bulgaria
BLR,Belarus
CAN,Canada
CHE,Switzerland
CHL,Chile
CZE,Czechia
DEUTE,East Germany
DEUTNP,Germany
DEUTW,West Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRATNP,France
GBR_NIR,Northern Ireland
GBR_NP,United Kingdom
GBR_SCO,Scotland
GBRCENW,England and Wales
GRC,Greece
HRV,Croatia
HUN,Hungary
IRL,Ireland
ISL,Iceland
ISR,Israel
ITA,Italy
JPN,Japan
KOR,Korea
LTU,Lithuania
LUX,Luxembourg
LVA,Latvia
NLD,Netherlands
NOR,Norway
NZL_MA,New Zealand 
NZL_NM,New Zealand 
NZL_NP,New Zealand
POL,Poland
PRT,Portugal
RUS,Russia
SVK,Slovakia 
SVN,Slovenia
SWE,Sweden
TWN,Taiwan
UKR,Ukraine
USA,The United States of America
