Country Name,lnh,l_m,g,m,b
Australia,-11.071,20,10.22%,86.031,9.787
Austria,-10.769,1,10.08%,84.075,9.921
Belarus,-7.74,1,7.11%,71.656,14.059
Belgium,-10.814,20,10.17%,83.858,9.834
Canada,-11.044,20,10.22%,85.722,9.782
Croatia,-10.156,1,9.75%,80.286,10.256
Czechia,-10.258,1,9.81%,80.883,10.191
Denmark,-10.687,1,10.06%,83.378,9.936
Estonia,-9.045,1,8.33%,78.718,12
Finland,-10.431,18,9.71%,83.414,10.299
France,-10.255,20,9.29%,84.81,10.764
Germany,-10.731,1,10.10%,83.567,9.904
Greece,-10.361,2,9.52%,84.149,10.506
Hungary,-9.421,1,8.98%,78.066,11.135
Ireland,-11.036,20,10.35%,84.705,9.66
Italy,-11.552,17,10.94%,85.352,9.139
Japan,-11.008,20,10.21%,85.453,9.792
Korea,-10.634,20,9.98%,83.445,10.018
Latvia,-8.517,1,7.86%,75.981,12.718
Lithuania,-8.143,1,7.34%,75.372,13.628
Luxembourg,-11.334,1,10.83%,84.112,9.232
Netherlands,-11.666,19,11.17%,84.85,8.956
New Zealand,-11.103,20,10.34%,85.455,9.673
Norway,-11.371,20,10.77%,84.89,9.285
Poland,-9.198,1,8.48%,79.34,11.787
Portugal,-10.201,20,9.41%,83.318,10.631
Russia,-7.65,20,6.91%,72.053,14.477
Slovakia,-9.593,1,9.10%,79.058,10.986
Slovenia,-10.559,1,10.02%,82.398,9.978
Spain,-10.827,1,10.04%,84.923,9.957
Sweden,-11.754,18,11.22%,85.29,8.916
Switzerland,-11.603,19,10.92%,85.975,9.158
Taiwan,-9.37,20,8.31%,82.85,12.039
United Kingdom,-10.788,20,9.99%,84.932,10.01
The United States of America,-9.913,20,8.97%,83.608,11.145
Ukraine,-8.118,20,7.52%,73.546,13.3
