Country Name,lnh,l_m,g,m,b
Australia,-12.012,20,10.87%,90.073,9.198
Austria,-11.925,3,10.96%,88.65,9.126
Belarus,-10.268,20,9.55%,82.912,10.469
Belgium,-11.553,11,10.52%,88.419,9.506
Canada,-11.747,17,10.61%,89.565,9.425
Croatia,-11.784,1,11.25%,85.338,8.89
Czechia,-11.939,16,11.35%,85.995,8.808
Denmark,-11.608,1,10.75%,87.206,9.299
Estonia,-11.016,9,10.06%,86.686,9.942
Finland,-11.836,8,10.81%,88.894,9.249
France,-11.589,20,10.22%,91.078,9.785
Germany,-12.006,15,11.13%,88.128,8.983
Greece,-12.456,20,11.60%,88.781,8.617
Hungary,-10.812,1,10.14%,84.057,9.862
Ireland,-11.772,10,10.81%,88.3,9.249
Italy,-12.441,14,11.44%,89.805,8.742
Japan,-11.767,20,10.29%,92.282,9.721
Korea,-12.269,20,11.21%,89.897,8.917
Latvia,-10.669,20,9.89%,84.524,10.116
Lithuania,-10.422,20,9.47%,85.206,10.565
Luxembourg,-11.877,1,10.92%,88.473,9.156
Netherlands,-11.773,15,10.82%,88.227,9.239
New Zealand,-11.757,20,10.77%,88.452,9.283
Norway,-11.927,2,10.96%,88.676,9.127
Poland,-11.315,11,10.50%,86.327,9.528
Portugal,-12.046,20,11.06%,89.005,9.041
Russia,-9.892,20,9.10%,82.405,10.995
Slovakia,-11.456,3,10.87%,84.987,9.201
Slovenia,-11.683,1,10.73%,88.067,9.318
Spain,-12.479,20,11.38%,90.542,8.786
Sweden,-12.283,8,11.39%,88.787,8.782
Switzerland,-12.585,15,11.59%,89.972,8.626
Taiwan,-11.581,20,10.56%,88.344,9.465
United Kingdom,-11.646,20,10.63%,88.46,9.407
The United States of America,-10.757,20,9.59%,87.701,10.424
Ukraine,-10.324,20,9.72%,82.244,10.29
