Year,Gender,Country Name,"Female
x = 55","Female
x = 70","Female
x = 85","Male
x = 55","Male
x = 70","Male
x = 85"
2011,Female,Australia,53.354,68.939,84.524,NA,NA,NA
2011,Female,Austria,54.712,69.814,84.917,NA,NA,NA
2011,Female,Belarus,57.931,71.889,85.848,NA,NA,NA
2011,Female,Belgium,56.31,70.844,85.379,NA,NA,NA
2011,Female,Bulgaria,54.416,69.624,84.831,NA,NA,NA
2011,Female,Canada,55.959,70.618,85.277,NA,NA,NA
2011,Female,Croatia,53.521,69.047,84.572,NA,NA,NA
2011,Female,Czechia,53.124,68.791,84.457,NA,NA,NA
2011,Female,Denmark,55.361,70.233,85.105,NA,NA,NA
2011,Female,Estonia,57.911,71.876,85.842,NA,NA,NA
2011,Female,Finland,55.213,70.137,85.062,NA,NA,NA
2011,Female,France,57.427,71.565,85.702,NA,NA,NA
2011,Female,Germany,54.634,69.764,84.894,NA,NA,NA
2011,Female,Greece,51.487,67.735,83.984,NA,NA,NA
2011,Female,Hungary,57.923,71.884,85.846,NA,NA,NA
2011,Female,Ireland,55.463,70.298,85.134,NA,NA,NA
2011,Female,Israel,52.254,68.23,84.206,NA,NA,NA
2011,Female,Italy,52.579,68.439,84.3,NA,NA,NA
2011,Female,Japan,54.385,69.604,84.822,NA,NA,NA
2011,Female,Korea,48.799,66.002,83.206,NA,NA,NA
2011,Female,Latvia,59.495,72.898,86.3,NA,NA,NA
2011,Female,Lithuania,59.431,72.857,86.282,NA,NA,NA
2011,Female,Luxembourg,54.784,69.86,84.937,NA,NA,NA
2011,Female,Netherlands,55.785,70.506,85.227,NA,NA,NA
2011,Female,New Zealand,53.966,69.333,84.701,NA,NA,NA
2011,Female,Norway,54.421,69.627,84.833,NA,NA,NA
2011,Female,Poland,56.855,71.196,85.537,NA,NA,NA
2011,Female,Portugal,53.39,68.962,84.534,NA,NA,NA
2011,Female,Russia,56.401,70.903,85.405,NA,NA,NA
2011,Female,Slovakia,54.901,69.936,84.971,NA,NA,NA
2011,Female,Slovenia,55.233,70.15,85.067,NA,NA,NA
2011,Female,Spain,53.737,69.186,84.635,NA,NA,NA
2011,Female,Sweden,52.684,68.507,84.33,NA,NA,NA
2011,Female,Switzerland,53.731,69.182,84.633,NA,NA,NA
2011,Female,Taiwan,54.003,69.357,84.711,NA,NA,NA
2011,Female,U.K.,55.115,70.074,85.033,NA,NA,NA
2011,Female,U.S.A.,58.659,72.359,86.059,NA,NA,NA
2011,Female,Ukraine,54.646,69.772,84.898,NA,NA,NA
2011,Male,Australia,NA,NA,NA,48.546,65.796,83.045
2011,Male,Austria,NA,NA,NA,53.15,68.795,84.44
2011,Male,Belarus,NA,NA,NA,66.785,77.677,88.569
2011,Male,Belgium,NA,NA,NA,53.227,68.845,84.463
2011,Male,Bulgaria,NA,NA,NA,57.904,71.891,85.879
2011,Male,Canada,NA,NA,NA,51.454,67.69,83.926
2011,Male,Croatia,NA,NA,NA,54.663,69.78,84.898
2011,Male,Czechia,NA,NA,NA,54.55,69.707,84.864
2011,Male,Denmark,NA,NA,NA,53.072,68.744,84.416
2011,Male,Estonia,NA,NA,NA,60.632,73.669,86.706
2011,Male,Finland,NA,NA,NA,54.594,69.736,84.877
2011,Male,France,NA,NA,NA,56.465,70.954,85.444
2011,Male,Germany,NA,NA,NA,53.172,68.809,84.446
2011,Male,Greece,NA,NA,NA,55.505,70.329,85.153
2011,Male,Hungary,NA,NA,NA,58.508,72.285,86.062
2011,Male,Ireland,NA,NA,NA,50.477,67.054,83.63
2011,Male,Israel,NA,NA,NA,52.625,68.453,84.281
2011,Male,Italy,NA,NA,NA,49.325,66.303,83.281
2011,Male,Japan,NA,NA,NA,51.455,67.691,83.926
2011,Male,Korea,NA,NA,NA,53.093,68.758,84.423
2011,Male,Latvia,NA,NA,NA,63.505,75.54,87.576
2011,Male,Lithuania,NA,NA,NA,65.693,76.966,88.239
2011,Male,Luxembourg,NA,NA,NA,49.814,66.622,83.429
2011,Male,Netherlands,NA,NA,NA,49.101,66.157,83.213
2011,Male,New Zealand,NA,NA,NA,50.111,66.815,83.519
2011,Male,Norway,NA,NA,NA,49.473,66.4,83.326
2011,Male,Poland,NA,NA,NA,60.564,73.625,86.685
2011,Male,Portugal,NA,NA,NA,55.69,70.45,85.209
2011,Male,Russia,NA,NA,NA,65.647,76.936,88.225
2011,Male,Slovakia,NA,NA,NA,57.568,71.673,85.778
2011,Male,Slovenia,NA,NA,NA,53.988,69.341,84.693
2011,Male,Spain,NA,NA,NA,53.329,68.911,84.494
2011,Male,Sweden,NA,NA,NA,47.888,65.367,82.846
2011,Male,Switzerland,NA,NA,NA,49.144,66.185,83.226
2011,Male,Taiwan,NA,NA,NA,58.642,72.373,86.103
2011,Male,U.K.,NA,NA,NA,50.585,67.124,83.663
2011,Male,U.S.A.,NA,NA,NA,56.629,71.061,85.493
2011,Male,Ukraine,NA,NA,NA,63.428,75.49,87.553
