Year,Gender,Country Name,lnh,l_m,g,m,b
2011,Female,Australia,-12.243,30,11.112%,90.402,8.999
2011,Female,Austria,-11.818,2,10.768%,89.047,9.286
2011,Female,Belgium,-11.473,11,10.364%,88.828,9.649
2011,Female,Bulgaria,-11.363,48,10.843%,84.305,9.222
2011,Female,Belarus,-10.646,68,9.953%,83.784,10.047
2011,Female,Canada,-11.656,16,10.453%,89.911,9.567
2011,Female,Switzerland,-12.164,6,11.017%,90.389,9.077
2011,Female,Czechia,-11.846,16,11.171%,86.42,8.952
2011,Female,Germany,-11.773,9,10.788%,88.488,9.27
2011,Female,Denmark,-11.53,1,10.604%,87.57,9.431
2011,Female,Spain,-12.223,15,11.015%,90.939,9.078
2011,Female,Estonia,-10.986,13,9.958%,87.158,10.042
2011,Female,Finland,-11.74,7,10.641%,89.266,9.397
2011,Female,France,-11.509,19,10.080%,91.411,9.92
2011,Female,U.K.,-11.715,26,10.666%,88.846,9.375
2011,Female,Greece,-12.483,23,11.586%,89.139,8.631
2011,Female,Croatia,-11.693,1,11.070%,85.745,9.033
2011,Female,Hungary,-10.718,1,9.955%,84.492,10.045
2011,Female,Ireland,-11.619,6,10.578%,88.606,9.453
2011,Female,Israel,-12.339,21,11.391%,89.249,8.779
2011,Female,Italy,-12.374,14,11.309%,90.143,8.843
2011,Female,Japan,-12.252,37,10.851%,92.441,9.216
2011,Female,Korea,-13.15,46,12.267%,90.097,8.152
2011,Female,Lithuania,-10.55,38,9.573%,85.697,10.446
2011,Female,Luxembourg,-11.787,1,10.750%,88.897,9.302
2011,Female,Latvia,-10.467,12,9.556%,84.962,10.464
2011,Female,Netherlands,-11.554,9,10.496%,88.597,9.527
2011,Female,Norway,-11.878,3,10.842%,89.062,9.223
2011,Female,New Zealand,-11.948,31,10.957%,88.861,9.126
2011,Female,Poland,-11.145,6,10.225%,86.691,9.78
2011,Female,Portugal,-12.12,25,11.103%,89.357,9.006
2011,Female,Russia,-10.971,153,10.340%,84.151,9.671
2011,Female,Slovakia,-11.393,5,10.720%,85.446,9.328
2011,Female,Slovenia,-11.635,1,10.636%,88.32,9.402
2011,Female,Sweden,-12.242,9,11.282%,89.168,8.864
2011,Female,Taiwan,-11.928,38,10.948%,88.746,9.134
2011,Female,Ukraine,-11.257,122,10.785%,83.726,9.272
2011,Female,U.S.A.,-10.94,37,9.768%,88.185,10.237
