Gender,Country Name,λ_0,Makeham: λ,λ_55,g,m,b,lnh
Female,Australia,56x10^-5,31x10^-5,0.15267576804458405,11.29%,100.99,8.85,-13.586
Female,Austria,34x10^-5,4x10^-5,0.1698196325405913,10.99%,100.14,9.1,-13.214
Female,Belarus,164x10^-5,74x10^-5,0.22681904768303932,10.21%,96.5,9.8,-12.13
Female,Belgium,52x10^-5,14x10^-5,0.1624965768064218,10.60%,100.66,9.43,-12.916
Female,Canada,48x10^-5,18x10^-5,0.1342344968872615,10.64%,101.71,9.4,-13.066
Female,Croatia,53x10^-5,0x10^-5,0.22511173692141564,11.22%,96.4,8.91,-13.007
Female,Czechia,52x10^-5,19x10^-5,0.22453827348715666,11.44%,96.72,8.74,-13.234
Female,Denmark,64x10^-5,0x10^-5,0.15764143208643447,10.72%,99.19,9.33,-12.87
Female,East Germany,46x10^-5,23x10^-5,0.18656213535129557,11.19%,99.27,8.93,-13.301
Female,England and Wales,58x10^-5,27x10^-5,0.14976298651422373,10.93%,100.26,9.15,-13.17
Female,Estonia,89x10^-5,17x10^-5,0.18112027861759109,10.20%,99.82,9.8,-12.465
Female,Finland,39x10^-5,9x10^-5,0.16808379645261118,10.84%,100.66,9.22,-13.136
Female,France,49x10^-5,21x10^-5,0.12798565583182642,10.25%,104.03,9.75,-12.943
Female,Germany,37x10^-5,11x10^-5,0.17804591041117718,11.00%,99.6,9.09,-13.16
Female,Greece,42x10^-5,24x10^-5,0.17165940014097433,11.78%,98.94,8.49,-13.792
Female,Hungary,63x10^-5,0x10^-5,0.21692293950115357,10.12%,97.29,9.88,-12.139
Female,Iceland,0x10^-5,0x10^-5,0.18495462026506265,17.84%,91.59,5.61,-18.062
Female,Ireland,38x10^-5,8x10^-5,0.15504691465907403,10.75%,100.23,9.3,-13.008
Female,Israel,45x10^-5,23x10^-5,0.1509473160798714,11.64%,99.22,8.59,-13.702
Female,Italy,36x10^-5,15x10^-5,0.1540980145474318,11.49%,100.43,8.71,-13.699
Female,Japan,55x10^-5,38x10^-5,0.1165281982942042,11.00%,103.58,9.09,-13.605
Female,Korea,58x10^-5,47x10^-5,0.14873321416310561,12.46%,98.96,8.03,-14.41
Female,Latvia,72x10^-5,18x10^-5,0.2045401722405715,9.86%,98.36,10.15,-12.012
