Country Name,"Female
x = 55","Female
x = 70","Female
x = 85","Male
x = 55","Male
x = 70","Male
x = 85","Total
x = 55","Total
x = 70","Total
x = 85"
Australia,53.601,69.124,84.648,48.804,65.964,83.125,49.973,66.609,83.246
Austria,54.443,69.651,84.86,53.661,69.128,84.595,53.849,69.224,84.598
Belarus,57.442,71.528,85.614,66.644,77.584,88.524,63.397,75.663,87.93
Belgium,55.901,70.564,85.227,52.864,68.609,84.354,54.399,69.594,84.79
Canada,56.208,70.756,85.304,51.682,67.839,83.996,53.595,69.053,84.51
Croatia,53.732,69.206,84.681,55.098,70.064,85.03,54.548,69.695,84.842
Czechia,52.806,68.627,84.448,54.825,69.886,84.947,54.637,69.755,84.873
Denmark,55.561,70.351,85.141,52.791,68.561,84.332,54.735,69.821,84.908
Estonia,57.641,71.653,85.664,61.332,74.124,86.916,59.997,73.371,86.744
Finland,55.005,70.003,85.001,54.283,69.533,84.783,54.434,69.618,84.802
France,57.412,71.51,85.607,56.521,70.99,85.46,57.611,71.761,85.911
Germany,54.668,69.792,84.917,53.582,69.077,84.571,54.193,69.456,84.718
Greece,51.478,67.796,84.114,55.341,70.222,85.103,52.76,68.489,84.218
Hungary,57.794,71.748,85.703,58.483,72.268,86.054,58.73,72.516,86.302
Ireland,55.765,70.479,85.192,51.249,67.557,83.865,52.522,68.329,84.135
Israel,52.628,68.516,84.403,53.166,68.806,84.445,51.725,67.791,83.857
Italy,52.723,68.575,84.427,49.467,66.397,83.326,50.993,67.298,83.602
Japan,55.03,70.019,85.007,51.772,67.898,84.023,53.76,69.164,84.567
Korea,49.609,66.627,83.644,53.098,68.761,84.424,52.235,68.135,84.035
Latvia,58.936,72.463,85.99,63.397,75.469,87.541,61.423,74.332,87.241
Lithuania,59.249,72.659,86.069,65.709,76.975,88.241,63.091,75.458,87.824
Luxembourg,54.953,69.971,84.988,50.365,66.981,83.597,52.868,68.562,84.256
Netherlands,55.743,70.465,85.187,49.208,66.228,83.247,52.192,68.106,84.02
New Zealand,54.273,69.545,84.817,50.34,66.965,83.59,50.5,66.965,83.43
Norway,54.335,69.584,84.833,49.66,66.522,83.384,51.241,67.465,83.688
Poland,56.495,70.936,85.376,60.667,73.691,86.715,59.927,73.323,86.719
Portugal,53.656,69.159,84.662,55.554,70.361,85.168,54.438,69.621,84.804
Russia,55.796,70.498,85.2,64.479,76.174,87.869,60.35,73.609,86.867
Slovakia,54.478,69.673,84.869,57.948,71.92,85.892,57.2,71.484,85.768
Slovenia,55.64,70.401,85.161,53.908,69.288,84.669,55.496,70.335,85.173
Spain,53.981,69.362,84.744,53.822,69.233,84.644,53.938,69.284,84.629
Sweden,52.814,68.632,84.45,47.769,65.29,82.812,49.123,66.036,82.949
Switzerland,54.125,69.453,84.78,49.219,66.235,83.251,50.381,66.884,83.388
Taiwan,53.982,69.363,84.744,58.928,72.558,86.189,56.801,71.215,85.629
U.K.,54.783,69.864,84.946,50.514,67.078,83.642,52.303,68.181,84.059
U.S.A.,58.344,72.092,85.841,56.619,71.054,85.49,57.571,71.734,85.897
Ukraine,53.968,69.354,84.741,62.229,74.708,87.188,58.063,72.066,86.069
