Gender,Country Name,lnh,l_m,g,m,b
Male,Australia,-11.854,66,11.189%,86.371,8.937
Male,Austria,-10.769,1,10.079%,84.075,9.921
Male,Belarus,-7.746,4,7.120%,71.683,14.044
Male,Belgium,-10.9,27,10.276%,83.925,9.731
Male,Canada,-11.292,36,10.532%,85.849,9.495
Male,Croatia,-10.156,1,9.751%,80.286,10.256
Male,Czechia,-10.258,1,9.813%,80.883,10.191
Male,Denmark,-10.835,14,10.247%,83.504,9.759
Male,Estonia,-9.045,1,8.333%,78.718,12
Male,Finland,-10.594,34,9.911%,83.57,10.09
Male,France,-10.378,32,9.442%,84.92,10.591
Male,Germany,-10.731,1,10.097%,83.567,9.904
Male,Greece,-10.485,14,9.670%,84.263,10.341
Male,Hungary,-9.421,1,8.981%,78.066,11.135
Male,Ireland,-11.291,38,10.667%,84.867,9.375
Male,Israel,-11.038,1,10.194%,85.885,9.81
Male,Italy,-11.647,22,11.060%,85.392,9.041
Male,Japan,-11.282,38,10.552%,85.6,9.477
Male,Korea,-10.803,35,10.192%,83.59,9.811
Male,Latvia,-8.517,1,7.863%,75.981,12.718
Male,Lithuania,-8.143,1,7.338%,75.372,13.628
Male,Luxembourg,-11.334,1,10.832%,84.112,9.232
Male,Netherlands,-11.628,17,11.118%,84.834,8.995
Male,New Zealand,-11.542,48,10.882%,85.684,9.189
Male,Norway,-11.566,32,11.012%,84.995,9.081
Male,Poland,-9.198,1,8.484%,79.34,11.787
Male,Portugal,-10.377,39,9.624%,83.502,10.391
Male,Russia,-8.246,287,7.620%,74.432,13.123
Male,Slovakia,-9.593,1,9.102%,79.058,10.986
Male,Slovenia,-10.559,1,10.022%,82.398,9.978
Male,Spain,-10.827,1,10.043%,84.923,9.957
Male,Sweden,-11.898,25,11.396%,85.345,8.775
Male,Switzerland,-11.721,25,11.068%,86.018,9.035
Male,Taiwan,-9.849,92,8.890%,83.562,11.248
Male,U.K.,-11.386,63,10.732%,85.302,9.318
Male,U.S.A.,-10.275,62,9.418%,84.013,10.618
Male,Ukraine,-8.616,204,8.121%,75.184,12.314
