Country Name,lnh,l_m,g,m,b
Australia,-10.97,20,10.022%,86.506,9.978
Austria,-10.681,1,9.906%,84.49,10.095
Belgium,-10.694,20,9.937%,84.382,10.064
Belarus,-7.64,1,6.897%,71.998,14.5
Canada,-10.985,20,10.074%,86.262,9.926
Croatia,-10.07,1,9.572%,80.687,10.447
Switzerland,-11.513,19,10.742%,86.405,9.309
Czechia,-10.145,1,9.588%,81.358,10.43
Germany,-10.631,1,9.901%,84.018,10.1
Denmark,-10.589,1,9.869%,83.829,10.133
Spain,-10.737,1,9.867%,85.35,10.135
Estonia,-9.014,1,8.255%,78.977,12.114
Finland,-10.332,18,9.514%,83.875,10.511
France,-10.167,20,9.116%,85.25,10.969
Greece,-10.269,2,9.337%,84.589,10.71
Hungary,-9.293,1,8.723%,78.563,11.463
Ireland,-10.957,20,10.194%,85.089,9.81
Italy,-11.453,17,10.750%,85.792,9.302
Japan,-10.921,20,10.041%,85.875,9.959
Korea,-10.541,20,9.798%,83.876,10.206
Lithuania,-8.046,1,7.138%,75.748,14.01
Luxembourg,-11.239,1,10.647%,84.52,9.392
Latvia,-8.398,1,7.621%,76.426,13.122
Netherlands,-11.56,19,10.960%,85.306,9.124
Norway,-11.263,20,10.561%,85.365,9.469
New Zealand,-11.003,20,10.143%,85.92,9.859
Poland,-9.092,1,8.270%,79.8,12.093
Portugal,-10.109,20,9.223%,83.76,10.843
Russia,-7.533,20,6.663%,72.4,15.008
Slovakia,-9.511,1,8.931%,79.443,11.197
Slovenia,-10.402,1,9.721%,83.031,10.287
Sweden,-11.653,18,11.017%,85.747,9.077
Taiwan,-9.301,20,8.166%,83.226,12.246
Ukraine,-7.99,20,7.257%,73.959,13.78
United Kingdom,-10.699,20,9.813%,85.366,10.19
The United States of America,-9.819,20,8.788%,84.066,11.38
