m_cc,CountryCode,Country Name,lmakeham_M,lmakeham_F
AUS,AUS,Australia,20,20
AUT,AUT,Austria,1,3
BEL,BEL,Belgium,20,11
BLR,BLR,Belarus,1,20
CAN,CAN,Canada,20,17
HRV,HRV,Croatia,1,1
CHE,CHE,Switzerland,19,15
CZE,CZE,Czechia,1,16
GER,DEUTNP,Germany,1,15
DNK,DNK,Denmark,1,1
SPA,ESP,Spain,1,20
EST,EST,Estonia,1,9
FIN,FIN,Finland,18,8
FRA,FRATNP,France,20,20
GRC,GRC,Greece,2,20
HUN,HUN,Hungary,1,1
IRL,IRL,Ireland,20,10
ISL,ISL,Iceland,1,1
ITA,ITA,Italy,17,14
JPN,JPN,Japan,20,20
KOR,KOR,Korea,20,20
LTU,LTU,Lithuania,1,20
LUX,LUX,Luxembourg,1,1
LVA,LVA,Latvia,1,20
NLD,NLD,Netherlands,19,15
NOR,NOR,Norway,20,2
NZL,NZL_NP,New Zealand ,20,20
POL,POL,Poland,1,11
POR,PRT,Portugal,20,20
RUS,RUS,Russia,20,20
SVK,SVK,Slovakia ,1,3
SVN,SVN,Slovenia,1,1
SWE,SWE,Sweden,18,8
TWN,TWN,Taiwan,20,20
UKR,UKR,Ukraine,20,20
UK,GBR_NP,United Kingdom,20,20
USA,USA,The United States of America,20,20
